,Giorno,T Media,T min,T max,Precip.,Umidità,Vento Max,Raffica,Fenomeni,Info,mese,anno,citta
1918,19,16 °C,8 °C,19 °C,n/d,70 %,20 km/h,-,,,Maggio,2016,Itri
1919,20,16 °C,9 °C,21 °C,-,52 %,26 km/h,46 km/h,Nessuno,,Maggio,2016,Itri
1920,21,-,-,-,-,-,-,-,,n/d,Maggio,2016,Itri
1921,22,-,-,-,-,-,-,-,,n/d,Maggio,2016,Itri
1922,23,19 °C,11 °C,23 °C,-,57 %,22 km/h,-,Nessuno,,Maggio,2016,Itri
1923,24,18 °C,12 °C,21 °C,-,47 %,15 km/h,32 km/h,Nessuno,,Maggio,2016,Itri
1924,25,19 °C,8 °C,24 °C,-,46 %,15 km/h,-,Nessuno,,Maggio,2016,Itri
1925,26,22 °C,11 °C,26 °C,-,49 %,13 km/h,-,Nessuno,,Maggio,2016,Itri
1926,27,24 °C,13 °C,30 °C,-,44 %,11 km/h,-,Nessuno,,Maggio,2016,Itri
1927,28,-,-,-,-,-,-,-,,n/d,Maggio,2016,Itri
1928,29,-,-,-,-,-,-,-,,n/d,Maggio,2016,Itri
1929,30,21 °C,13 °C,24 °C,-,50 %,20 km/h,-,Nessuno,,Maggio,2016,Itri
1930,1,25 °C,15 °C,30 °C,-,48 %,15 km/h,-,Nessuno,,Giugno,2017,Itri
1931,2,-,-,-,-,-,-,-,,n/d,Giugno,2017,Itri
1932,3,-,-,-,-,-,-,-,,n/d,Giugno,2017,Itri
1933,4,-,-,-,-,-,-,-,,n/d,Giugno,2017,Itri
1934,5,26 °C,15 °C,30 °C,-,50 %,18 km/h,-,Nessuno,,Giugno,2017,Itri
1935,6,25 °C,21 °C,28 °C,-,61 %,18 km/h,-,Nessuno,,Giugno,2017,Itri
1936,7,25 °C,16 °C,29 °C,-,55 %,26 km/h,-,Nessuno,,Giugno,2017,Itri
1937,8,25 °C,15 °C,30 °C,-,53 %,18 km/h,-,Nessuno,,Giugno,2017,Itri
1938,9,25 °C,16 °C,29 °C,-,61 %,22 km/h,-,Nessuno,,Giugno,2017,Itri
1939,10,-,-,-,-,-,-,-,,n/d,Giugno,2017,Itri
1940,11,-,-,-,-,-,-,-,,n/d,Giugno,2017,Itri
1941,12,27 °C,17 °C,31 °C,-,41 %,24 km/h,-,Nessuno,,Giugno,2017,Itri
1942,13,28 °C,17 °C,32 °C,-,47 %,26 km/h,-,Nessuno,,Giugno,2017,Itri
1943,14,28 °C,18 °C,33 °C,-,51 %,13 km/h,-,Nessuno,,Giugno,2017,Itri
1944,15,29 °C,18 °C,33 °C,-,44 %,18 km/h,-,Nessuno,,Giugno,2017,Itri
1945,16,28 °C,19 °C,32 °C,-,54 %,24 km/h,-,Nessuno,,Giugno,2017,Itri
1946,17,-,-,-,-,-,-,-,,n/d,Giugno,2017,Itri
1947,18,-,-,-,-,-,-,-,,n/d,Giugno,2017,Itri
1948,19,26 °C,15 °C,31 °C,-,41 %,18 km/h,-,Nessuno,,Giugno,2017,Itri
1949,20,-,-,-,-,-,-,-,,n/d,Giugno,2017,Itri
1950,21,28 °C,19 °C,32 °C,-,47 %,18 km/h,-,Nessuno,,Giugno,2017,Itri
1951,22,27 °C,19 °C,34 °C,n/d,55 %,24 km/h,-,,,Giugno,2017,Itri
1952,23,29 °C,19 °C,33 °C,-,44 %,15 km/h,-,Nessuno,,Giugno,2017,Itri
1953,24,27 °C,19 °C,32 °C,-,63 %,21 km/h,-,Nessuno,,Giugno,2017,Itri
1954,25,-,-,-,-,-,-,-,,n/d,Giugno,2017,Itri
1955,26,29 °C,20 °C,33 °C,-,55 %,22 km/h,-,Nessuno,,Giugno,2017,Itri
1956,27,29 °C,22 °C,33 °C,-,50 %,28 km/h,-,Nessuno,,Giugno,2017,Itri
1957,28,26 °C,22 °C,29 °C,n/d,76 %,28 km/h,-,,,Giugno,2017,Itri
1958,29,28 °C,21 °C,30 °C,-,47 %,24 km/h,-,Nessuno,,Giugno,2017,Itri
1959,1,25 °C,21 °C,29 °C,n/d,75 %,18 km/h,-,,,Settembre,2017,Itri
1960,2,-,-,-,-,-,-,-,,n/d,Settembre,2017,Itri
1961,3,-,-,-,-,-,-,-,,n/d,Settembre,2017,Itri
1962,4,22 °C,12 °C,28 °C,-,48 %,17 km/h,-,Nessuno,,Settembre,2017,Itri
1963,5,24 °C,13 °C,30 °C,-,48 %,22 km/h,-,Nessuno,,Settembre,2017,Itri
1964,6,24 °C,14 °C,29 °C,-,52 %,21 km/h,-,Nessuno,,Settembre,2017,Itri
1965,7,23 °C,18 °C,26 °C,n/d,77 %,18 km/h,-,,,Settembre,2017,Itri
1966,8,23 °C,15 °C,28 °C,-,52 %,15 km/h,-,Nessuno,,Settembre,2017,Itri
1967,9,-,-,-,-,-,-,-,,n/d,Settembre,2017,Itri
1968,10,-,-,-,-,-,-,-,,n/d,Settembre,2017,Itri
1969,11,18 °C,17 °C,19 °C,n/d,82 %,21 km/h,-,,,Settembre,2017,Itri
1970,12,22 °C,14 °C,26 °C,-,61 %,22 km/h,-,Nessuno,,Settembre,2017,Itri
1971,13,21 °C,11 °C,26 °C,-,59 %,18 km/h,-,Nessuno,,Settembre,2017,Itri
1972,14,21 °C,14 °C,25 °C,-,67 %,15 km/h,-,Nessuno,,Settembre,2017,Itri
1973,15,23 °C,15 °C,27 °C,-,63 %,15 km/h,-,Nessuno,,Settembre,2017,Itri
1974,16,-,-,-,-,-,-,-,,n/d,Settembre,2017,Itri
1975,17,-,-,-,-,-,-,-,,n/d,Settembre,2017,Itri
1976,18,19 °C,10 °C,23 °C,-,55 %,18 km/h,-,Nessuno,,Settembre,2017,Itri
1977,19,18 °C,13 °C,21 °C,n/d,63 %,18 km/h,-,,,Settembre,2017,Itri
1978,20,16 °C,10 °C,20 °C,-,57 %,22 km/h,-,Nessuno,,Settembre,2017,Itri
1979,21,17 °C,7 °C,22 °C,-,49 %,22 km/h,-,Nessuno,,Settembre,2017,Itri
1980,22,18 °C,9 °C,23 °C,-,54 %,18 km/h,-,Nessuno,,Settembre,2017,Itri
1981,23,-,-,-,-,-,-,-,,n/d,Settembre,2017,Itri
1982,24,-,-,-,-,-,-,-,,n/d,Settembre,2017,Itri
1983,25,19 °C,12 °C,23 °C,-,59 %,18 km/h,-,Nessuno,,Settembre,2017,Itri
1984,26,18 °C,10 °C,22 °C,-,64 %,11 km/h,-,Nessuno,,Settembre,2017,Itri
1985,27,20 °C,15 °C,25 °C,-,58 %,9 km/h,-,Nessuno,,Settembre,2017,Itri
1986,28,20 °C,11 °C,24 °C,n/d,62 %,13 km/h,-,,,Settembre,2017,Itri
1987,29,19 °C,11 °C,23 °C,n/d,68 %,11 km/h,-,,,Settembre,2017,Itri
1988,1,-,-,-,-,-,-,-,,n/d,Maggio,2017,Itri
1989,2,17 °C,12 °C,20 °C,-,61 %,11 km/h,-,Nessuno,,Maggio,2017,Itri
1990,3,17 °C,8 °C,22 °C,-,55 %,18 km/h,-,Nessuno,,Maggio,2017,Itri
1991,4,18 °C,11 °C,21 °C,-,54 %,9 km/h,-,Nessuno,,Maggio,2017,Itri
1992,5,20 °C,12 °C,25 °C,n/d,53 %,11 km/h,-,,,Maggio,2017,Itri
1993,6,-,-,-,-,-,-,-,,n/d,Maggio,2017,Itri
1994,7,-,-,-,-,-,-,-,,n/d,Maggio,2017,Itri
1995,8,16 °C,9 °C,23 °C,n/d,70 %,18 km/h,-,,,Maggio,2017,Itri
1996,9,16 °C,8 °C,21 °C,n/d,64 %,18 km/h,-,,,Maggio,2017,Itri
1997,10,18 °C,8 °C,23 °C,-,61 %,18 km/h,-,,,Maggio,2017,Itri
1998,11,21 °C,11 °C,25 °C,-,46 %,21 km/h,-,Nessuno,,Maggio,2017,Itri
1999,12,23 °C,14 °C,28 °C,-,57 %,15 km/h,-,Nessuno,,Maggio,2017,Itri
2000,13,-,-,-,-,-,-,-,,n/d,Maggio,2017,Itri
2001,14,-,-,-,-,-,-,-,,n/d,Maggio,2017,Itri
2002,15,21 °C,13 °C,27 °C,n/d,58 %,22 km/h,-,,,Maggio,2017,Itri
2003,16,23 °C,12 °C,27 °C,-,45 %,18 km/h,-,Nessuno,,Maggio,2017,Itri
2004,17,23 °C,13 °C,27 °C,-,45 %,13 km/h,-,Nessuno,,Maggio,2017,Itri
2005,18,24 °C,14 °C,28 °C,-,42 %,18 km/h,-,Nessuno,,Maggio,2017,Itri
2006,19,22 °C,13 °C,26 °C,-,51 %,18 km/h,-,Nessuno,,Maggio,2017,Itri
2007,20,-,-,-,-,-,-,-,,n/d,Maggio,2017,Itri
2008,21,-,-,-,-,-,-,-,,n/d,Maggio,2017,Itri
2009,22,22 °C,10 °C,28 °C,-,44 %,18 km/h,-,Nessuno,,Maggio,2017,Itri
2010,23,23 °C,13 °C,27 °C,-,50 %,18 km/h,-,Nessuno,,Maggio,2017,Itri
2011,24,23 °C,14 °C,28 °C,n/d,59 %,18 km/h,-,,,Maggio,2017,Itri
2012,25,20 °C,14 °C,26 °C,n/d,70 %,11 km/h,-,,,Maggio,2017,Itri
2013,26,22 °C,12 °C,26 °C,-,36 %,13 km/h,-,Nessuno,,Maggio,2017,Itri
2014,27,-,-,-,-,-,-,-,,n/d,Maggio,2017,Itri
2015,28,-,-,-,-,-,-,-,,n/d,Maggio,2017,Itri
2016,29,24 °C,13 °C,29 °C,-,39 %,18 km/h,-,Nessuno,,Maggio,2017,Itri
2017,30,24 °C,13 °C,28 °C,-,49 %,24 km/h,-,Nessuno,,Maggio,2017,Itri
2018,1,25 °C,18 °C,29 °C,-,47 %,15 km/h,-,Nessuno,,Giugno,2018,Itri
2019,2,-,-,-,-,-,-,-,,n/d,Giugno,2018,Itri
2020,3,-,-,-,-,-,-,-,,n/d,Giugno,2018,Itri
2021,4,25 °C,18 °C,30 °C,-,51 %,18 km/h,-,Nessuno,,Giugno,2018,Itri
2022,5,23 °C,17 °C,26 °C,-,56 %,18 km/h,-,Nessuno,,Giugno,2018,Itri
2023,6,23 °C,16 °C,27 °C,-,60 %,18 km/h,-,Nessuno,,Giugno,2018,Itri
2024,7,25 °C,17 °C,29 °C,-,56 %,15 km/h,-,Nessuno,,Giugno,2018,Itri
2025,8,24 °C,19 °C,26 °C,-,59 %,18 km/h,-,Nessuno,,Giugno,2018,Itri
2026,9,-,-,-,-,-,-,-,,n/d,Giugno,2018,Itri
2027,10,-,-,-,-,-,-,-,,n/d,Giugno,2018,Itri
2028,11,26 °C,18 °C,30 °C,-,57 %,24 km/h,-,Nessuno,,Giugno,2018,Itri
2029,12,25 °C,19 °C,28 °C,-,58 %,33 km/h,-,Nessuno,,Giugno,2018,Itri
2030,13,22 °C,18 °C,24 °C,n/d,69 %,15 km/h,-,,,Giugno,2018,Itri
2031,14,21 °C,17 °C,24 °C,n/d,70 %,33 km/h,-,,,Giugno,2018,Itri
2032,15,21 °C,15 °C,26 °C,n/d,65 %,18 km/h,-,,,Giugno,2018,Itri
2033,16,-,-,-,-,-,-,-,,n/d,Giugno,2018,Itri
2034,17,-,-,-,-,-,-,-,,n/d,Giugno,2018,Itri
2035,18,25 °C,14 °C,29 °C,-,56 %,31 km/h,-,Nessuno,,Giugno,2018,Itri
2036,19,27 °C,18 °C,30 °C,-,47 %,18 km/h,-,Nessuno,,Giugno,2018,Itri
2037,20,-,-,-,-,-,-,-,,n/d,Giugno,2018,Itri
2038,21,23 °C,17 °C,28 °C,n/d,67 %,26 km/h,-,,,Giugno,2018,Itri
2039,22,25 °C,18 °C,27 °C,-,62 %,18 km/h,-,Nessuno,,Giugno,2018,Itri
2040,23,-,-,-,-,-,-,-,,n/d,Giugno,2018,Itri
2041,24,-,-,-,-,-,-,-,,n/d,Giugno,2018,Itri
2042,25,19 °C,16 °C,24 °C,n/d,70 %,24 km/h,-,,,Giugno,2018,Itri
2043,26,21 °C,15 °C,25 °C,-,36 %,26 km/h,-,Nessuno,,Giugno,2018,Itri
2044,27,22 °C,15 °C,26 °C,-,36 %,21 km/h,-,Nessuno,,Giugno,2018,Itri
2045,28,22 °C,14 °C,26 °C,n/d,46 %,24 km/h,-,,,Giugno,2018,Itri
2046,29,23 °C,17 °C,26 °C,-,54 %,15 km/h,-,Nessuno,,Giugno,2018,Itri
2047,1,-,-,-,-,-,-,-,,n/d,Settembre,2018,Itri
2048,2,-,-,-,-,-,-,-,,n/d,Settembre,2018,Itri
2049,3,22 °C,16 °C,25 °C,n/d,67 %,18 km/h,-,,,Settembre,2018,Itri
2050,4,23 °C,14 °C,27 °C,-,60 %,21 km/h,-,Nessuno,,Settembre,2018,Itri
2051,5,24 °C,15 °C,29 °C,-,58 %,15 km/h,-,Nessuno,,Settembre,2018,Itri
2052,6,24 °C,15 °C,29 °C,-,60 %,22 km/h,-,Nessuno,,Settembre,2018,Itri
2053,7,23 °C,16 °C,28 °C,n/d,68 %,28 km/h,-,,,Settembre,2018,Itri
2054,8,-,-,-,-,-,-,-,,n/d,Settembre,2018,Itri
2055,9,-,-,-,-,-,-,-,,n/d,Settembre,2018,Itri
2056,10,26 °C,17 °C,30 °C,-,67 %,22 km/h,-,Nessuno,,Settembre,2018,Itri
2057,11,26 °C,16 °C,31 °C,-,55 %,13 km/h,-,Nessuno,,Settembre,2018,Itri
2058,12,26 °C,16 °C,31 °C,-,58 %,15 km/h,-,Nessuno,,Settembre,2018,Itri
2059,13,23 °C,18 °C,26 °C,-,67 %,18 km/h,-,Nessuno,,Settembre,2018,Itri
2060,14,26 °C,18 °C,30 °C,-,60 %,17 km/h,-,Nessuno,,Settembre,2018,Itri
2061,15,-,-,-,-,-,-,-,,n/d,Settembre,2018,Itri
2062,16,-,-,-,-,-,-,-,,n/d,Settembre,2018,Itri
2063,17,25 °C,17 °C,30 °C,-,65 %,18 km/h,-,Nessuno,,Settembre,2018,Itri
2064,18,24 °C,19 °C,27 °C,n/d,76 %,22 km/h,-,,,Settembre,2018,Itri
2065,19,23 °C,19 °C,25 °C,n/d,82 %,8 km/h,-,,,Settembre,2018,Itri
2066,20,24 °C,20 °C,27 °C,-,68 %,15 km/h,-,Nessuno,,Settembre,2018,Itri
2067,21,24 °C,18 °C,28 °C,-,69 %,13 km/h,-,Nessuno,,Settembre,2018,Itri
2068,22,-,-,-,-,-,-,-,,n/d,Settembre,2018,Itri
2069,23,-,-,-,-,-,-,-,,n/d,Settembre,2018,Itri
2070,24,24 °C,16 °C,29 °C,-,71 %,18 km/h,-,Nessuno,,Settembre,2018,Itri
2071,25,20 °C,15 °C,25 °C,n/d,55 %,18 km/h,-,,,Settembre,2018,Itri
2072,26,18 °C,10 °C,23 °C,-,45 %,18 km/h,-,Nessuno,,Settembre,2018,Itri
2073,27,19 °C,5 °C,26 °C,-,50 %,15 km/h,-,Nessuno,,Settembre,2018,Itri
2074,28,19 °C,7 °C,26 °C,-,54 %,13 km/h,-,Nessuno,,Settembre,2018,Itri
2075,29,-,-,-,-,-,-,-,,n/d,Settembre,2018,Itri
2076,1,-,-,-,-,-,-,-,,n/d,Maggio,2018,Itri
2077,2,21 °C,13 °C,24 °C,-,52 %,15 km/h,-,Nessuno,,Maggio,2018,Itri
2078,3,20 °C,16 °C,24 °C,n/d,57 %,21 km/h,-,,,Maggio,2018,Itri
2079,4,15 °C,13 °C,17 °C,n/d,79 %,22 km/h,-,,,Maggio,2018,Itri
2080,5,-,-,-,-,-,-,-,,n/d,Maggio,2018,Itri
2081,6,-,-,-,-,-,-,-,,n/d,Maggio,2018,Itri
2082,7,19 °C,13 °C,24 °C,n/d,76 %,9 km/h,-,,,Maggio,2018,Itri
2083,8,18 °C,14 °C,21 °C,n/d,80 %,15 km/h,-,,,Maggio,2018,Itri
2084,9,19 °C,13 °C,22 °C,n/d,76 %,21 km/h,-,,,Maggio,2018,Itri
2085,10,19 °C,14 °C,24 °C,n/d,72 %,21 km/h,-,,,Maggio,2018,Itri
2086,11,20 °C,14 °C,25 °C,-,68 %,15 km/h,-,Nessuno,,Maggio,2018,Itri
2087,12,-,-,-,-,-,-,-,,n/d,Maggio,2018,Itri
2088,13,-,-,-,-,-,-,-,,n/d,Maggio,2018,Itri
2089,14,17 °C,13 °C,20 °C,-,53 %,18 km/h,-,Nessuno,,Maggio,2018,Itri
2090,15,12 °C,7 °C,16 °C,n/d,76 %,21 km/h,-,,,Maggio,2018,Itri
2091,16,15 °C,9 °C,18 °C,-,69 %,13 km/h,-,Nessuno,,Maggio,2018,Itri
2092,17,18 °C,10 °C,22 °C,-,63 %,15 km/h,-,Nessuno,,Maggio,2018,Itri
2093,18,20 °C,10 °C,25 °C,-,52 %,15 km/h,-,Nessuno,,Maggio,2018,Itri
2094,19,-,-,-,-,-,-,-,,n/d,Maggio,2018,Itri
2095,20,-,-,-,-,-,-,-,,n/d,Maggio,2018,Itri
2096,21,21 °C,13 °C,25 °C,n/d,62 %,11 km/h,-,,,Maggio,2018,Itri
2097,22,20 °C,17 °C,25 °C,n/d,70 %,18 km/h,-,,,Maggio,2018,Itri
2098,23,19 °C,15 °C,23 °C,n/d,70 %,18 km/h,-,,,Maggio,2018,Itri
2099,24,23 °C,16 °C,27 °C,-,62 %,13 km/h,-,Nessuno,,Maggio,2018,Itri
2100,25,23 °C,10 °C,28 °C,n/d,62 %,22 km/h,-,,,Maggio,2018,Itri
2101,26,-,-,-,-,-,-,-,,n/d,Maggio,2018,Itri
2102,27,-,-,-,-,-,-,-,,n/d,Maggio,2018,Itri
2103,28,25 °C,17 °C,28 °C,-,66 %,9 km/h,-,Nessuno,,Maggio,2018,Itri
2104,29,26 °C,19 °C,30 °C,-,58 %,8 km/h,-,Nessuno,,Maggio,2018,Itri
2105,30,27 °C,19 °C,32 °C,n/d,55 %,22 km/h,-,,,Maggio,2018,Itri
2106,1,-,-,-,-,-,-,-,,n/d,Giugno,2019,Itri
2107,2,-,-,-,-,-,-,-,,n/d,Giugno,2019,Itri
2108,3,20 °C,16 °C,25 °C,n/d,80 %,18 km/h,-,,,Giugno,2019,Itri
2109,4,22 °C,16 °C,26 °C,-,72 %,18 km/h,-,Nessuno,,Giugno,2019,Itri
2110,5,22 °C,16 °C,26 °C,-,75 %,18 km/h,-,Nessuno,,Giugno,2019,Itri
2111,6,23 °C,17 °C,27 °C,-,60 %,21 km/h,-,Nessuno,,Giugno,2019,Itri
2112,7,26 °C,16 °C,30 °C,-,52 %,18 km/h,-,Nessuno,,Giugno,2019,Itri
2113,8,-,-,-,-,-,-,-,,n/d,Giugno,2019,Itri
2114,9,-,-,-,-,-,-,-,,n/d,Giugno,2019,Itri
2115,10,29 °C,17 °C,34 °C,-,48 %,18 km/h,-,Nessuno,,Giugno,2019,Itri
2116,11,28 °C,18 °C,33 °C,-,53 %,18 km/h,-,Nessuno,,Giugno,2019,Itri
2117,12,27 °C,19 °C,31 °C,-,59 %,18 km/h,-,Nessuno,,Giugno,2019,Itri
2118,13,28 °C,18 °C,32 °C,-,59 %,11 km/h,-,Nessuno,,Giugno,2019,Itri
2119,14,30 °C,19 °C,37 °C,-,54 %,15 km/h,-,Nessuno,,Giugno,2019,Itri
2120,15,-,-,-,-,-,-,-,,n/d,Giugno,2019,Itri
2121,16,-,-,-,-,-,-,-,,n/d,Giugno,2019,Itri
2122,17,26 °C,14 °C,31 °C,-,59 %,21 km/h,-,Nessuno,,Giugno,2019,Itri
2123,18,27 °C,17 °C,31 °C,-,55 %,21 km/h,-,Nessuno,,Giugno,2019,Itri
2124,19,28 °C,18 °C,32 °C,-,60 %,18 km/h,-,Nessuno,,Giugno,2019,Itri
2125,20,-,-,-,-,-,-,-,,n/d,Giugno,2019,Itri
2126,21,28 °C,16 °C,33 °C,-,53 %,15 km/h,-,Nessuno,,Giugno,2019,Itri
2127,22,-,-,-,-,-,-,-,,n/d,Giugno,2019,Itri
2128,23,-,-,-,-,-,-,-,,n/d,Giugno,2019,Itri
2129,24,23 °C,19 °C,26 °C,-,81 %,4 km/h,-,Nessuno,,Giugno,2019,Itri
2130,25,30 °C,20 °C,34 °C,-,57 %,21 km/h,-,Nessuno,,Giugno,2019,Itri
2131,26,29 °C,20 °C,35 °C,n/d,62 %,18 km/h,-,,,Giugno,2019,Itri
2132,27,32 °C,20 °C,37 °C,-,50 %,21 km/h,-,Nessuno,,Giugno,2019,Itri
2133,28,32 °C,20 °C,37 °C,-,47 %,11 km/h,-,Nessuno,,Giugno,2019,Itri
2134,29,-,-,-,-,-,-,-,,n/d,Giugno,2019,Itri
2135,1,-,-,-,-,-,-,-,,n/d,Settembre,2019,Itri
2136,2,24 °C,20 °C,30 °C,n/d,76 %,18 km/h,-,,,Settembre,2019,Itri
2137,3,24 °C,19 °C,31 °C,n/d,70 %,59 km/h,-,,,Settembre,2019,Itri
2138,4,25 °C,18 °C,30 °C,-,60 %,13 km/h,-,Nessuno,,Settembre,2019,Itri
2139,5,25 °C,18 °C,29 °C,-,64 %,15 km/h,-,Nessuno,,Settembre,2019,Itri
2140,6,25 °C,19 °C,28 °C,-,62 %,18 km/h,-,Nessuno,,Settembre,2019,Itri
2141,7,-,-,-,-,-,-,-,,n/d,Settembre,2019,Itri
2142,8,-,-,-,-,-,-,-,,n/d,Settembre,2019,Itri
2143,9,23 °C,18 °C,26 °C,-,56 %,18 km/h,-,Nessuno,,Settembre,2019,Itri
2144,10,23 °C,12 °C,29 °C,-,54 %,9 km/h,-,Nessuno,,Settembre,2019,Itri
2145,11,25 °C,14 °C,31 °C,-,54 %,15 km/h,-,Nessuno,,Settembre,2019,Itri
2146,12,26 °C,15 °C,31 °C,-,50 %,18 km/h,-,Nessuno,,Settembre,2019,Itri
2147,13,26 °C,14 °C,32 °C,-,54 %,15 km/h,-,Nessuno,,Settembre,2019,Itri
2148,14,-,-,-,-,-,-,-,,n/d,Settembre,2019,Itri
2149,15,-,-,-,-,-,-,-,,n/d,Settembre,2019,Itri
2150,16,25 °C,16 °C,31 °C,-,61 %,18 km/h,-,Nessuno,,Settembre,2019,Itri
2151,17,25 °C,16 °C,30 °C,-,62 %,21 km/h,-,Nessuno,,Settembre,2019,Itri
2152,18,24 °C,15 °C,30 °C,-,68 %,18 km/h,-,Nessuno,,Settembre,2019,Itri
2153,19,23 °C,19 °C,26 °C,n/d,77 %,18 km/h,-,,,Settembre,2019,Itri
2154,20,23 °C,17 °C,26 °C,-,67 %,18 km/h,-,Nessuno,,Settembre,2019,Itri
2155,21,-,-,-,-,-,-,-,,n/d,Settembre,2019,Itri
2156,22,-,-,-,-,-,-,-,,n/d,Settembre,2019,Itri
2157,23,23 °C,16 °C,28 °C,n/d,76 %,18 km/h,-,,,Settembre,2019,Itri
2158,24,22 °C,15 °C,26 °C,-,64 %,18 km/h,-,Nessuno,,Settembre,2019,Itri
2159,25,22 °C,14 °C,26 °C,-,67 %,11 km/h,-,Nessuno,,Settembre,2019,Itri
2160,26,24 °C,18 °C,27 °C,-,64 %,13 km/h,-,Nessuno,,Settembre,2019,Itri
2161,27,24 °C,16 °C,28 °C,-,65 %,9 km/h,-,Nessuno,,Settembre,2019,Itri
2162,28,-,-,-,-,-,-,-,,n/d,Settembre,2019,Itri
2163,29,-,-,-,-,-,-,-,,n/d,Settembre,2019,Itri
2164,1,-,-,-,-,-,-,-,,n/d,Maggio,2019,Itri
2165,2,15 °C,8 °C,20 °C,-,70 %,24 km/h,-,,,Maggio,2019,Itri
2166,3,16 °C,10 °C,20 °C,-,62 %,22 km/h,-,Nessuno,,Maggio,2019,Itri
2167,4,-,-,-,-,-,-,-,,n/d,Maggio,2019,Itri
2168,5,-,-,-,-,-,-,-,,n/d,Maggio,2019,Itri
2169,6,12 °C,6 °C,16 °C,n/d,72 %,18 km/h,-,,,Maggio,2019,Itri
2170,7,14 °C,4 °C,18 °C,-,62 %,13 km/h,-,Nessuno,,Maggio,2019,Itri
2171,8,15 °C,4 °C,19 °C,-,61 %,21 km/h,-,Nessuno,,Maggio,2019,Itri
2172,9,14 °C,10 °C,19 °C,n/d,81 %,11 km/h,-,,,Maggio,2019,Itri
2173,10,19 °C,12 °C,23 °C,-,59 %,18 km/h,-,Nessuno,,Maggio,2019,Itri
2174,11,-,-,-,-,-,-,-,,n/d,Maggio,2019,Itri
2175,12,-,-,-,-,-,-,-,,n/d,Maggio,2019,Itri
2176,13,14 °C,8 °C,18 °C,-,71 %,21 km/h,-,Nessuno,,Maggio,2019,Itri
2177,14,16 °C,12 °C,19 °C,n/d,59 %,30 km/h,-,,,Maggio,2019,Itri
2178,15,10 °C,9 °C,11 °C,n/d,90 %,13 km/h,-,,,Maggio,2019,Itri
2179,16,15 °C,8 °C,19 °C,-,65 %,21 km/h,-,Nessuno,,Maggio,2019,Itri
2180,17,17 °C,8 °C,21 °C,-,63 %,18 km/h,-,Nessuno,,Maggio,2019,Itri
2181,18,-,-,-,-,-,-,-,,n/d,Maggio,2019,Itri
2182,19,-,-,-,-,-,-,-,,n/d,Maggio,2019,Itri
2183,20,13 °C,10 °C,16 °C,n/d,78 %,18 km/h,-,,,Maggio,2019,Itri
2184,21,16 °C,12 °C,19 °C,-,74 %,9 km/h,-,Nessuno,,Maggio,2019,Itri
2185,22,18 °C,10 °C,22 °C,-,69 %,18 km/h,-,Nessuno,,Maggio,2019,Itri
2186,23,18 °C,11 °C,22 °C,n/d,67 %,18 km/h,-,,,Maggio,2019,Itri
2187,24,19 °C,10 °C,22 °C,n/d,72 %,21 km/h,-,,,Maggio,2019,Itri
2188,25,-,-,-,-,-,-,-,,n/d,Maggio,2019,Itri
2189,26,-,-,-,-,-,-,-,,n/d,Maggio,2019,Itri
2190,27,16 °C,15 °C,16 °C,n/d,89 %,15 km/h,-,,,Maggio,2019,Itri
2191,28,18 °C,14 °C,20 °C,n/d,73 %,18 km/h,-,,,Maggio,2019,Itri
2192,29,18 °C,14 °C,20 °C,-,62 %,26 km/h,-,Nessuno,,Maggio,2019,Itri
2193,30,17 °C,12 °C,21 °C,-,72 %,15 km/h,-,Nessuno,,Maggio,2019,Itri
2194,1,18 °C,11 °C,23 °C,-,71 %,18 km/h,-,,,Giugno,2020,Itri
2195,2,-,-,-,-,-,-,-,,n/d,Giugno,2020,Itri
2196,3,20 °C,13 °C,24 °C,n/d,70 %,18 km/h,-,,,Giugno,2020,Itri
2197,4,20 °C,14 °C,23 °C,-,68 %,22 km/h,-,Nessuno,,Giugno,2020,Itri
2198,5,17 °C,16 °C,19 °C,n/d,91 %,18 km/h,-,,,Giugno,2020,Itri
2199,6,-,-,-,-,-,-,-,,n/d,Giugno,2020,Itri
2200,7,-,-,-,-,-,-,-,,n/d,Giugno,2020,Itri
2201,8,18 °C,16 °C,19 °C,n/d,91 %,17 km/h,-,,,Giugno,2020,Itri
2202,9,19 °C,15 °C,23 °C,n/d,72 %,18 km/h,-,,,Giugno,2020,Itri
2203,10,17 °C,14 °C,21 °C,n/d,80 %,15 km/h,-,,,Giugno,2020,Itri
2204,11,16 °C,13 °C,19 °C,n/d,88 %,18 km/h,-,,,Giugno,2020,Itri
2205,12,19 °C,11 °C,24 °C,-,71 %,21 km/h,-,Nessuno,,Giugno,2020,Itri
2206,13,-,-,-,-,-,-,-,,n/d,Giugno,2020,Itri
2207,14,-,-,-,-,-,-,-,,n/d,Giugno,2020,Itri
2208,15,21 °C,15 °C,26 °C,-,72 %,18 km/h,-,Nessuno,,Giugno,2020,Itri
2209,16,21 °C,15 °C,25 °C,n/d,79 %,24 km/h,-,,,Giugno,2020,Itri
2210,17,21 °C,15 °C,25 °C,-,78 %,21 km/h,-,,,Giugno,2020,Itri
2211,18,22 °C,15 °C,25 °C,-,67 %,24 km/h,-,Nessuno,,Giugno,2020,Itri
2212,19,21 °C,15 °C,25 °C,-,69 %,13 km/h,-,Nessuno,,Giugno,2020,Itri
